"Alioramus,""remotus"""
"Alioramus,""altai"""
"Daspletosaurus,""torosus"""
"Daspletosaurus,""horneri"""
"Daspletosaurus,""wilsoni"""
"Albertosaurus,""sarcophagus"""
"Yutyrannus,""huali"""
"Dynamoterror,""dynastes"""
"Gorgosaurus,""libratus"""
"Lythronax,""argestes"""
"Nanuqsaurus,""hoglundi"""
"Qianzhousaurus,""sinensis"""
"Tarbosaurus,""bataar"""
"Teratophoneus,""curriei"""
"Thanatotheristes,""degrootorum"""
"Tyrannosaurus,""rex"""
"Tyrannosaurus,""mcraeensis"""
"Zhuchengtyrannus,""magnus"""
"Labocania,""anomala"""
