"Haplocanthosaurus","priscus"
"Haplocanthosaurus","delfsi"
"Dicraeosaurus","hansemanni"
"Dicraeosaurus","sattleri"
"Brachytrachelopan","mesai"
"Maraapunisaurus","fragillimus"
"Sidersaura","marae"
"Amphicoelias","altus"
"Apatosaurus","ajax"
"Apatosaurus","louisae"
"Barosaurus","lentus"
"Brontosaurus","excelsus"
"Brontosaurus","parvus"
"Brontosaurus","yahnahpin"
"Dinheirosaurus","lourinhanensis"
"Diplodocus","longus"
"Diplodocus","carnegii"
"Diplodocus","hallorum"
"Galeamopus","hayi"
"Galeamopus","pabsti"
"Supersaurus","vivianae"
"Tornieria","africana"
